"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-28 00:00:00.000,6155,google,organic,,0,53,30,3444642
2023-06-29 00:00:00.000,6430,google,organic,,0,49,31,3387650
2023-06-20 00:00:00.000,6858,google,organic,,0,50,23,3114258
2023-06-26 00:00:00.000,6212,google,organic,,0,40,24,2956838
2023-06-25 00:00:00.000,3874,google,organic,,0,30,22,2472373
2023-06-01 00:00:00.000,7519,google,organic,,0,36,17,2418066
2023-06-27 00:00:00.000,6409,google,organic,,0,43,20,2080365
2023-06-14 00:00:00.000,6788,google,organic,,0,33,20,2015438
2023-06-24 00:00:00.000,3013,google,organic,,0,26,19,2010429
2023-06-12 00:00:00.000,5142,google,organic,,0,31,16,1924199
2023-06-22 00:00:00.000,3901,google,organic,,0,36,16,1810870
2023-06-01 00:00:00.000,132,yandex,cpc,freemium,21654,132,26,1726717
2023-06-18 00:00:00.000,4188,google,organic,,0,36,18,1690016
2023-06-23 00:00:00.000,5608,google,organic,,0,33,15,1678210
2023-06-02 00:00:00.000,6062,google,organic,,0,27,13,1618585
